Tanggal,Tahun,Bulan,Volume_Sampah,Prediksi,Error_Ton,Error_%
2017-01-01,2017,1,9619.05,9549.31,69.74,0.73
2017-02-01,2017,2,8913.03,9109.32,-196.29,2.2
2017-03-01,2017,3,9646.49,9551.78,94.71,0.98
2017-04-01,2017,4,8762.76,8895.62,-132.86,1.52
2017-05-01,2017,5,9216.57,9061.94,154.63,1.68
2017-06-01,2017,6,8514.12,8675.32,-161.2,1.89
2017-07-01,2017,7,8397.59,8390.12,7.47,0.09
2017-08-01,2017,8,7947.26,8256.41,-309.15,3.89
2017-09-01,2017,9,7579.1,7962.45,-383.35,5.06
2017-10-01,2017,10,8683.12,8726.93,-43.81,0.5
2017-11-01,2017,11,9303.01,9111.55,191.46,2.06
2017-12-01,2017,12,9696.76,9784.03,-87.27,0.9
2018-01-01,2018,1,10257.0,10027.89,229.11,2.23
2018-02-01,2018,2,9617.0,9500.22,116.78,1.21
2018-03-01,2018,3,10177.0,9952.8,224.2,2.2
2018-04-01,2018,4,9529.0,9391.14,137.86,1.45
2018-05-01,2018,5,9201.0,9230.71,-29.71,0.32
2018-06-01,2018,6,8620.0,8707.83,-87.83,1.02
2018-07-01,2018,7,8667.0,8727.57,-60.57,0.7
2018-08-01,2018,8,8881.0,8820.11,60.89,0.69
2018-09-01,2018,9,8729.0,8634.6,94.4,1.08
2018-10-01,2018,10,9171.0,8962.35,208.65,2.28
2018-11-01,2018,11,9311.0,9258.89,52.11,0.56
2018-12-01,2018,12,9677.0,9656.53,20.47,0.21
2019-01-01,2019,1,10541.02,10319.04,221.98,2.11
2019-02-01,2019,2,9587.45,9606.73,-19.28,0.2
2019-03-01,2019,3,10451.47,10194.73,256.74,2.46
2019-04-01,2019,4,9431.6,9265.77,165.83,1.76
2019-05-01,2019,5,9328.7,9311.16,17.54,0.19
2019-06-01,2019,6,8097.98,8593.69,-495.71,6.12
2019-07-01,2019,7,8820.23,8712.5,107.73,1.22
2019-08-01,2019,8,8591.63,8617.29,-25.66,0.3
2019-09-01,2019,9,8241.92,8395.58,-153.66,1.86
2019-10-01,2019,10,8701.58,8706.13,-4.55,0.05
2019-11-01,2019,11,9028.42,9090.72,-62.3,0.69
2019-12-01,2019,12,10071.88,10002.24,69.64,0.69
2020-01-01,2020,1,10027.0,10267.28,-240.28,2.4
2020-02-01,2020,2,9548.0,9541.84,6.16,0.06
2020-03-01,2020,3,9921.0,9722.05,198.95,2.01
2020-04-01,2020,4,8307.0,8346.18,-39.18,0.47
2020-05-01,2020,5,8410.0,8456.19,-46.19,0.55
2020-06-01,2020,6,9359.0,9147.74,211.26,2.26
2020-07-01,2020,7,9036.0,9008.97,27.03,0.3
2020-08-01,2020,8,9395.0,9154.83,240.17,2.56
2020-09-01,2020,9,8593.0,8805.08,-212.08,2.47
2020-10-01,2020,10,8552.0,8557.2,-5.2,0.06
2020-11-01,2020,11,8388.0,8578.1,-190.1,2.27
2020-12-01,2020,12,8337.0,8490.98,-153.98,1.85
2021-01-01,2021,1,7945.59,8242.46,-296.87,3.74
2021-02-01,2021,2,6886.63,7444.0,-557.37,8.09
2021-03-01,2021,3,7759.57,8265.66,-506.09,6.52
2021-04-01,2021,4,8498.64,8742.72,-244.08,2.87
2021-05-01,2021,5,10292.97,9929.96,363.01,3.53
2021-06-01,2021,6,10334.08,9958.99,375.09,3.63
2021-07-01,2021,7,8995.07,9060.66,-65.59,0.73
2021-08-01,2021,8,9120.92,8767.1,353.82,3.88
2021-09-01,2021,9,8929.1,8903.13,25.97,0.29
2021-10-01,2021,10,9247.1,9364.76,-117.66,1.27
2021-11-01,2021,11,10715.16,10213.94,501.22,4.68
2021-12-01,2021,12,10573.1,10270.03,303.07,2.87
2022-01-01,2022,1,10232.03,10364.58,-132.55,1.3
2022-02-01,2022,2,7263.32,8566.16,-1302.84,17.94
2022-03-01,2022,3,10843.28,10591.84,251.44,2.32
2022-04-01,2022,4,11001.22,10514.35,486.87,4.43
2022-05-01,2022,5,10973.61,10878.83,94.78,0.86
2022-06-01,2022,6,10479.79,10490.13,-10.34,0.1
2022-07-01,2022,7,10360.51,10700.65,-340.14,3.28
2022-08-01,2022,8,10822.86,10955.4,-132.54,1.22
2022-09-01,2022,9,10602.59,10944.53,-341.94,3.23
2022-10-01,2022,10,11565.99,11342.6,223.39,1.93
2022-11-01,2022,11,12183.1,12144.51,38.59,0.32
2022-12-01,2022,12,19158.19,16658.39,2499.8,13.05
2023-01-01,2023,1,12781.08,12107.12,673.96,5.27
2023-02-01,2023,2,10994.63,11060.67,-66.04,0.6
2023-03-01,2023,3,12493.64,12097.63,396.01,3.17
2023-04-01,2023,4,11528.46,11723.21,-194.75,1.69
2023-05-01,2023,5,12131.13,11719.66,411.47,3.39
2023-06-01,2023,6,10647.38,10852.33,-204.95,1.92
2023-07-01,2023,7,10901.68,10759.26,142.42,1.31
2023-08-01,2023,8,10560.04,10801.93,-241.89,2.29
2023-09-01,2023,9,10161.49,10609.76,-448.27,4.41
2023-10-01,2023,10,11172.21,11119.88,52.33,0.47
2023-11-01,2023,11,11248.81,11235.24,13.57,0.12
2023-12-01,2023,12,11376.61,12857.6,-1480.99,13.02
