Fitur,Kode,MDI,Perm_Mean,Perm_Std
Jml. Penduduk,Jumlah_Penduduk,0.21462657042427177,-5.366077952354923e-16,3.7494576441350354e-16
Jml. Rmh Tangga,Jumlah_Rumah_Tangga,0.2107266643875893,-4.1078251911130794e-16,3.911074787101517e-16
Hunian Hotel,Tingkat_Hunian_Hotel,0.17821332797835918,-0.0088777512465632,0.011451948904077103
Lag-12 (Vol. thn lalu),lag_12,0.16302393749182806,-0.010020481734310615,0.01927680224325023
Jml. Wisatawan,Jumlah_Wisatawan,0.06451523809879656,0.004149404290072075,0.001798145827435294
Bulan (Cos),Bulan_Cos,0.05929922254118516,0.09477800754776247,0.09960897573853146
Curah Hujan,Curah_Hujan,0.04789164458754051,0.16012692874882195,0.05391980534436564
Bulan (Sin),Bulan_Sin,0.029313486114471064,0.034475804417998926,0.031039492502495953
Jml. Rmh Makan,Jumlah_Rumah_Makan,0.012527875203871336,2.0554600085206007e-05,2.1973791783401154e-05
Hari Besar,Jumlah_Hari_Besar,0.012481887915684197,0.007289843652767255,0.02946904668656125
Kepadatan Pddk,Kepadatan_Penduduk,0.007380145256402997,-6.180241503746704e-16,3.678658091616467e-16
